,Seed,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
133,134,0.022304329662172113,0.0002662943169295113,0.013415223176062287,0.05927810523965737,0.3054711246200608,0.251097602161432,0.2782843633907464,0.96,18.654255319148938,0.20712230904785162,-0.18288330602719757,0.15339678640087864,12.876877387548623,0.16223263771812474
134,135,0.0012348617814820907,0.0001355295393554583,0.003187797517820656,0.0001480300730787269,0.43353174603174605,0.35615079365079366,0.3948412698412699,0.97,17.833333333333332,0.23542482549486818,-0.21884234312532597,0.31100429699262827,13.384472242947133,0.16392624787185833
135,136,0.0006793023022179592,0.0002662943169295113,0.0011267971243556542,0.026795095142512288,0.4035798716649781,0.4000337723741979,0.401806822019588,0.96,17.372340425531913,0.21194550022008374,-0.23903532292125115,0.18025556961850092,12.264361136923375,0.16218956614290064
136,137,0.0015540039358664256,0.0011301372155393626,0.0016413175982945463,0.05012143612276358,0.36930091185410335,0.24772036474164127,0.3085106382978723,0.96,17.53723404255319,0.20862403737231483,-0.23181244937886247,0.16175942310305486,12.469375114805661,0.16714322107686297
137,138,4.8656899368142226e-05,1.2210901571433582e-06,0.0010475119181197912,5.322381852180421e-06,0.5124716553287982,0.5385487528344671,0.5255102040816326,0.99,17.26530612244898,0.2410788758686638,-0.24372377144843682,0.34248986492233846,13.817174332653625,0.13659571548301083
138,139,0.0043880456918955636,0.0008718547349624553,0.002149384038011779,0.036335541000130034,0.4209726443768996,0.46386355960824055,0.44241810199257003,0.96,17.70744680851064,0.20931040685408464,-0.22435657991575159,0.16558159155123509,12.092157115005543,0.15296083772903468
139,140,0.014036264229290926,7.945643851833017e-06,0.021411586450737034,0.00048410556828791204,0.4069571090847686,0.46386355960824044,0.43541033434650456,0.94,18.909574468085108,0.2305911931140991,-0.17169950183253135,0.2840873700799688,13.396165449675992,0.16051575233194634
140,141,0.01045138367402474,0.0013067383718085134,0.009460355954575362,0.0010340291520439648,0.33333333333333337,0.40476190476190477,0.36904761904761907,0.91,18.38888888888889,0.2283607925629826,-0.19450721362767248,0.27166699469949657,12.649940223349713,0.16270607222711903
141,142,0.04219100491475546,0.0009137112554996763,0.09387995244741544,0.04291872724073488,0.40062111801242234,0.2763975155279502,0.33850931677018625,0.92,19.98913043478261,0.21008598206753196,-0.12441146018334476,0.1699005177109258,12.773098910037275,0.1706688958487562
142,143,0.04026103726115829,0.004871345366574664,0.028921614605824295,0.033172672001614806,0.3021978021978022,0.3705738705738706,0.3363858363858364,0.92,19.10989010989011,0.21010502712177978,-0.16292502908181686,0.17000657342490103,12.692431377543015,0.15297249072657002
143,144,0.0004265788917476804,1.766689714786539e-07,0.01825918670494996,2.2632072366709297e-05,0.43734335839599,0.5778613199665832,0.5076023391812866,0.95,18.768421052631577,0.24087158364620695,-0.17788247779190725,0.3413355219434158,14.110617601149588,0.15658019600981404
