,Sim,vivo_tonic_scale,vivo_noise_scale,current_noise_scale,gstn_mu,gstn_pct,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
835,836,2.0,5,80,0.049999999999999996,0.1,0.000892579049741296,0.7518656663784408,0.001915058662089742,0.2778846583372699,0.4240637450199203,0.24358565737051796,0.3338247011952191,1.0,29.76,0.6736090435676932,0.21242655413082304,-0.03893946935462418,15.054647123064692,0.2281756910001605
836,837,2.0,5,80,0.049999999999999996,0.2,0.0032230586610978627,0.05033926908184662,0.00039264359852980333,0.08761906763955896,0.43880478087649405,0.2704382470119522,0.35462151394422314,1.0,30.6,0.6566596004588713,0.24664827138451562,-0.06312180619207648,16.410514921842033,0.26584160599047485
837,838,2.0,5,80,0.049999999999999996,0.30000000000000004,0.0011156274244695887,0.43849229322842054,0.0008015121344308166,0.08935019449014817,0.4016258199525132,0.2493460501428629,0.325485935047688,1.0,30.207070707070706,0.6586899829248115,0.23064027714246838,-0.0602249916840725,15.066520866318227,0.2033108515106178
838,839,2.0,5,80,0.049999999999999996,0.4,0.0014343710862295086,0.11990427002878384,0.0006830026350725274,0.0258930400760345,0.2866135458167331,0.17227091633466132,0.22944223107569722,1.0,30.325,0.6455546661928478,0.23544473299788998,-0.07896558697322625,16.126434044760174,0.20827210242293512
839,840,2.0,5,80,0.049999999999999996,0.5,0.006764661799108892,0.026534544144145404,0.00526062226507789,6.735121589029089e-05,0.35617529880478094,0.31968127490039844,0.3379282868525897,1.0,29.265,0.598233431660717,0.19226018503489703,-0.14648037348703544,15.710896696242386,0.2519471008493131
840,841,2.0,10,8,0.01,0.1,0.003048454413376406,9.137709120423787e-13,0.0001278778919281737,2.9236242881409696e-18,0.33969173809811265,0.7929091713952271,0.5663004547466699,1.0,18.232323232323232,0.47412136771299457,-0.25721260650655225,-0.3235552022413262,12.493495910158094,0.22576431488592733
841,842,2.0,10,8,0.01,0.2,0.003665940702732814,2.324265597929804e-08,6.10415809675622e-05,9.025837576152047e-10,0.34726400520367506,0.6442800227660784,0.49577201398487675,0.99,17.974489795918366,0.5406116261824427,-0.2677167766960704,-0.22869132875626902,11.306800475138392,0.24972650078916886
842,843,2.0,10,8,0.01,0.30000000000000004,1.3708859152648405e-05,7.20771921138713e-10,0.00016838901867315183,2.1583533017860287e-15,0.5084923464038582,0.6427762633675822,0.5756343048857202,0.96,18.13157894736842,0.48944718605549853,-0.2613169427382772,-0.30168934511029544,14.159655535193865,0.24293733840183013
843,844,2.0,10,8,0.01,0.4,0.0033508506555772195,5.105399810480524e-14,0.004652076443640905,1.1871232111373344e-17,0.38054099391906054,0.8322499475781087,0.6063954707485846,0.96,19.742105263157896,0.4707270492675894,-0.19570387582330268,-0.32839798978622453,13.969678283959897,0.24967662346293792
844,845,2.0,10,8,0.01,0.5,0.0007995413067894761,9.339965467771872e-09,0.001223445549779035,3.4376602660970242e-12,0.4148765761695486,0.6468558754672034,0.530866225818376,0.98,19.067010309278352,0.5124669687952227,-0.22320733847932694,-0.26884625188517114,14.592864529812532,0.2825672354248673
845,846,2.0,10,8,0.03,0.1,0.12610872653366567,4.115068070906652e-09,0.9909934541314364,1.1062620191029389e-13,0.30756972111553793,0.6167330677290835,0.46215139442231074,1.0,24.565,0.5013614806971204,0.0007815289725694962,-0.28469082283705377,16.437404752575755,0.28382291450400604
846,847,2.0,10,8,0.03,0.2,0.111330153691618,2.8422530488355592e-11,0.6386381552827447,2.5425583804436744e-16,0.45478691295424356,0.6716970501831059,0.5632419815686747,0.99,23.757575757575758,0.4882462388948038,-0.03211304737031074,-0.30340277655328995,14.926987903137807,0.22731853166064056
847,848,2.0,10,8,0.03,0.30000000000000004,0.1916203121038011,4.1105944276270344e-08,0.5958086192527767,3.466044577073211e-13,0.31590305444887123,0.6462483399734396,0.4810756972111554,0.97,25.453125,0.5022640826132116,0.0369638654439215,-0.28340305052353815,15.485893803750614,0.2854512885881693
848,849,2.0,10,8,0.03,0.4,0.32968648529814065,2.7904416853907724e-12,0.9621565236898448,4.1022379410177826e-18,0.3075697211155379,0.7567330677290836,0.5321513944223107,1.0,24.625,0.4732056339173991,0.0032259373478332,-0.3248617102461233,14.790600900571958,0.24345432639837503
849,850,2.0,10,8,0.03,0.5,0.01679977858905388,1.9308812658416625e-09,0.9278534716364979,2.4390704097424317e-12,0.463794307306855,0.6620938924713518,0.5629440998891033,0.97,24.38659793814433,0.5083667681471415,-0.00648659593016925,-0.27469614515520024,18.32756151555322,0.30013580121074623
850,851,2.0,10,8,0.049999999999999996,0.1,0.04485704874876992,1.3686557866428982e-09,0.06630589143300843,3.680892900483171e-11,0.5135015493581231,0.6450158960119119,0.5792587226850174,0.99,27.747474747474747,0.5235813646895803,0.1304359944191141,-0.2529889718827232,18.16414685573856,0.2820044546627797
851,852,2.0,10,8,0.049999999999999996,0.2,0.0007885515416342715,4.3268316496381165e-09,0.007427632985675751,1.0993708983931218e-13,0.3578011187572941,0.6450158960119119,0.501408507384603,1.0,29.116161616161616,0.5035637199809229,0.1861964885013092,-0.2815488144645272,16.216469412800816,0.2649932387135562
