,Sim,Wsnr,Heterogeneity,gKCC2,gGABA_tonic,current_noise,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,STD FR,STD CV
61,62,0.1,0.1,0.006,0.001,0.01,3.911087040616008e-24,0.02834139606573493,5.697748479615205e-19,0.2306818048615109,1.088293650793651,0.27281746031746035,0.6805555555555556,0.99,8.927083333333334,0.19470883809662323,3.682008033630864,0.11656669915026684
62,63,0.1,0.1,0.006,0.002,0.001,3.0891614379274076e-25,0.0009647409815963274,4.322519515760824e-19,0.17482571029193422,1.0613199665831246,0.21996658312447787,0.6406432748538012,0.97,8.805263157894737,0.199007587450907,3.6203334659161075,0.15712437028283843
63,64,0.1,0.1,0.006,0.002,0.01,1.2494075631257027e-23,0.200195960273936,1.5986833213234295e-17,0.1254427945754647,1.0501519756838906,0.14133738601823703,0.5957446808510638,0.95,9.404255319148936,0.20004234086264522,4.085701973426745,0.13308165221694818
64,65,0.1,0.1,0.006,0.003,0.001,1.9273965045092266e-24,1.5606064466990824e-06,2.4902610386074727e-19,0.3931742958877027,1.1188787571766294,0.10300574130361366,0.6109422492401215,0.95,8.617021276595745,0.16746256707139773,3.6767133304679773,0.15338892892374364
65,66,0.1,0.1,0.006,0.003,0.01,6.118456696973119e-31,0.00879114268706949,1.6893949724602993e-20,0.16783578398938456,1.150793650793651,0.1459627329192546,0.6483781918564527,0.96,8.0,0.19950489408451116,2.944227956675496,0.15728670828795593
66,67,0.1,0.1,0.006,0.004,0.001,2.886927282210613e-35,0.0010043518564855107,1.1603541773648378e-22,0.0036287424676331335,1.3316447146234383,0.27237419790611284,0.8020094562647755,0.96,7.24468085106383,0.22475607082406884,2.7528946862281356,0.18124558635193996
67,68,0.1,0.1,0.006,0.004,0.01,1.1687739020261043e-34,0.005432309706381842,3.644663545658732e-21,0.01968977497723684,1.237750172532781,0.21118012422360244,0.7244651483781918,0.94,7.739130434782608,0.2132105819703038,2.493990887754837,0.1557866366142575
68,69,0.1,0.1,0.006,0.005,0.001,1.0310152501531453e-31,0.00014036510599750498,7.428972174246842e-22,0.20077304412757116,1.2718462823725982,0.1507101086048454,0.7112781954887218,0.97,7.668421052631579,0.16242817501398965,2.7887089319118994,0.1354764109071835
69,70,0.1,0.1,0.006,0.005,0.01,3.241988116888565e-36,0.021269900198179884,1.2530981042247623e-22,0.021313576899290462,1.3282130056323604,0.31566820276497687,0.8219406041986687,0.96,7.188172043010753,0.21345146097089449,2.550473262528804,0.16335283321993535
70,71,0.1,0.1,0.006,0.006,0.001,1.0414146702156242e-36,1.1727572451272415e-05,8.449693564170236e-23,0.23566410898541212,1.3139515455304929,0.24436090225563914,0.779156223893066,0.96,7.2894736842105265,0.1977343257675234,2.510587001362977,0.17903057439435416
