,Sim,kcc2_S_change,kcc2_D_change,trpc3_change,tonic_CL_S_change,tonic_CL_D_change,stn_change,noise_change,KS_FR_pval,KS_FR_statistic,KS_CV_pval,KS_CV_statistic,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
20,21,0.33,0.33,0.33,0.33,1.0,1.0,2.0,0.003869694843630294,0.1940648379052369,0.005201165885528454,0.19057356608478804,0.1946842914392911,0.09902118339699603,0.4031920199501247,0.4468827930174563,0.4250374064837905,1.0,26.01,0.8341653468280419,0.10411369290213318,0.0574320960050283,12.907939417273386,0.3058987683765628
21,22,0.33,0.33,0.33,0.33,1.0,1.25,1.0,5.784004502295078e-05,0.2528527166931157,0.013878439973636586,0.17423612685458073,0.22616026253428165,1.9847078021051413e-05,0.4807677775258823,0.3455502657497669,0.4131590216378246,0.99,25.843434343434343,0.6780883775367106,0.09704304998858539,-0.14041932206624655,12.271270229840512,0.23536184829352513
22,23,0.33,0.33,0.33,0.33,1.0,1.25,1.5,3.216750032266826e-05,0.25983022242373865,0.6212681731388691,0.08219350613365577,0.06417736785776727,0.5895334790053051,0.5248494924305398,0.24645457064409673,0.38565203153731825,0.99,27.060606060606062,0.7745997515733242,0.14871148365035003,-0.0180764017760089,12.392012890207724,0.2645673006076287
23,24,0.33,0.33,0.33,0.33,1.0,1.25,2.0,3.081144859620284e-05,0.2603340134512204,0.007636265484104868,0.18448827426383535,0.012110877097267039,0.08020345226591376,0.46051537822111394,0.4213708153857779,0.4409430968034459,0.99,28.343434343434343,0.8362022747626764,0.20316701124407685,0.06001421354745813,13.114808975654636,0.2874408761854843
24,25,0.33,0.33,0.33,0.33,1.0,1.5,1.0,3.446326795948538e-06,0.2847678782840878,0.0004462577363577286,0.2268822892264289,0.016815243852619875,8.136106646126081e-07,0.6056575732386207,0.4338144537645784,0.5197360135015996,0.99,28.116161616161616,0.6619988193845618,0.19351937840266856,-0.16081529663569685,13.102515041713351,0.2211771163667074
25,26,0.33,0.33,0.33,0.33,1.0,1.5,1.5,1.5473429611885674e-06,0.293231567545782,0.24530082493277536,0.11249653643668606,0.001957168022928621,0.058100234006710404,0.6258595934406408,0.31411370563490254,0.4699866495377717,0.99,29.474747474747474,0.7391521317508695,0.25119078361019825,-0.06301167878047867,13.11976181905587,0.25475985382661825
26,27,0.33,0.33,0.33,0.33,1.0,1.5,2.0,2.148228348013899e-07,0.3129297967203204,0.25073363099317,0.1118919872037079,0.00024906925184530696,0.8316467298658248,0.6423335600392956,0.32756492606866666,0.4849492430539811,0.99,30.58080808080808,0.7945534706705831,0.29814259677171867,0.007217987505855717,13.27405517395294,0.2784962769050833
27,28,0.33,0.33,0.33,0.66,0.33,1.0,1.0,0.002473781003034397,0.20234766618806518,0.03921727918028211,0.15478979319378322,0.9556802298324407,0.0016621970073267959,0.46056575732386207,0.21728507015290055,0.3389254137383813,0.99,23.661616161616163,0.7061878560174083,0.004425774711065647,-0.10479893752320751,11.550029140465291,0.25368474322590306
28,29,0.33,0.33,0.33,0.66,0.33,1.0,1.5,0.0012278411079506006,0.21270057180281618,0.23197541633389904,0.11400790951913146,0.3570894772221479,0.914717991332748,0.46056575732386207,0.351746895387793,0.40615632635582755,0.99,25.292929292929294,0.7917125471229592,0.07367433932828533,0.0036166826171101524,12.045161252596875,0.27302322605440876
29,30,0.33,0.33,0.33,0.66,0.33,1.0,2.0,0.0012498177676562698,0.2124486762890753,0.014777317245923642,0.17310259704274666,0.08891330744178519,0.07755828554634867,0.4757298672510643,0.4590040051386685,0.4673669361948664,0.99,26.782828282828284,0.8371747641096772,0.13691993239973982,0.0612469924592793,12.625163588531432,0.29896786233013745
30,31,0.33,0.33,0.33,0.66,0.33,1.25,1.0,5.784004502295078e-05,0.2528527166931157,0.03140484916541398,0.1591475855815008,0.14928014768548284,1.8690544070685635e-05,0.5009697977279025,0.2778911307589611,0.3894304642434318,0.99,26.282828282828284,0.6783482405556889,0.11569514014864153,-0.14008990596441817,12.304257622350885,0.22909989783694087
31,32,0.33,0.33,0.33,0.66,0.33,1.25,1.5,1.7023142264333953e-05,0.2671855714249729,0.34796294850407516,0.10239552633567596,0.035068125326636154,0.2008449439569,0.5248494924305398,0.253507645028842,0.3891785687296909,0.99,27.555555555555557,0.7550572013141149,0.16972188406052813,-0.042849571700243595,12.597877183868832,0.2636482615626041
